DATE,PERSON_NUMBER
2022-04-02 10:42:00,0
2022-04-02 10:51:00,1
2022-04-02 11:03:00,2
2022-04-02 11:21:00,1
2022-04-02 11:48:00,0
2022-04-02 11:56:00,1
2022-04-02 13:12:00,0
2022-04-02 13:24:00,1
2022-04-02 13:26:00,2
2022-04-02 15:04:00,3
2022-04-02 15:04:00,2
2022-04-02 15:17:00,3
2022-04-02 16:36:00,2
2022-04-02 17:07:00,1
2022-04-02 17:15:00,2
2022-04-02 17:38:00,1
2022-04-02 18:25:00,0
2022-04-02 18:28:00,1
2022-04-02 18:42:00,2
2022-04-02 18:47:00,1
2022-04-02 18:47:00,0
2022-04-02 19:07:00,1
2022-04-02 22:13:00,0
2022-04-02 22:25:00,1
2022-04-02 22:33:00,0
2022-04-03 10:37:00,1
2022-04-03 12:13:00,0
2022-04-03 13:18:00,1
2022-04-03 14:26:00,2
2022-04-03 14:35:00,1
2022-04-03 14:44:00,2
2022-04-03 15:17:00,3
2022-04-03 16:09:00,2
2022-04-03 16:19:00,1
2022-04-03 16:23:00,2
2022-04-03 16:33:00,3
2022-04-03 18:06:00,2
2022-04-03 18:08:00,3
2022-04-03 18:11:00,2
2022-04-03 18:11:00,1
2022-04-03 18:11:00,0
2022-04-03 18:37:00,1
2022-04-03 18:37:00,2
2022-04-03 18:37:00,3
2022-04-03 18:57:00,2
2022-04-03 20:22:00,1
2022-04-03 20:30:00,2
2022-04-03 20:32:00,1
2022-04-03 20:34:00,2
2022-04-03 21:08:00,1
2022-04-03 21:08:00,0
2022-04-03 21:19:00,1
2022-04-03 21:19:00,2
2022-04-03 22:15:00,1
2022-04-03 22:27:00,2
2022-04-03 22:38:00,1
2022-04-03 22:42:00,2
2022-04-03 22:48:00,1
2022-04-04 00:46:00,0
2022-04-04 08:14:00,1
2022-04-04 08:32:00,0
2022-04-04 08:33:00,1
2022-04-04 09:00:00,2
2022-04-04 10:16:00,3
2022-04-04 10:24:00,4
2022-04-04 11:07:00,3
2022-04-04 11:09:00,4
2022-04-04 11:14:00,5
2022-04-04 11:36:00,4
2022-04-04 11:44:00,5
2022-04-04 11:56:00,4
2022-04-04 12:01:00,5
2022-04-04 12:09:00,4
2022-04-04 12:09:00,3
2022-04-04 12:09:00,2
2022-04-04 12:09:00,1
2022-04-04 12:46:00,0
2022-04-04 12:52:00,1
2022-04-04 12:52:00,2
2022-04-04 13:06:00,3
2022-04-04 13:06:00,4
2022-04-04 13:13:00,3
2022-04-04 13:15:00,4
2022-04-04 13:56:00,3
2022-04-04 14:08:00,4
2022-04-04 14:27:00,3
2022-04-04 14:30:00,4
2022-04-04 14:49:00,5
2022-04-04 14:51:00,4
2022-04-04 15:00:00,5
2022-04-04 15:15:00,4
2022-04-04 15:26:00,5
2022-04-04 16:18:00,4
2022-04-04 16:36:00,3
2022-04-04 16:49:00,4
2022-04-04 17:49:00,3
2022-04-04 17:49:00,2
2022-04-04 17:49:00,1
2022-04-04 17:49:00,2
2022-04-04 17:59:00,1
2022-04-04 18:31:00,2
2022-04-04 18:31:00,3
2022-04-04 18:31:00,4
2022-04-04 18:31:00,3
2022-04-04 18:32:00,2
2022-04-04 18:34:00,3
2022-04-04 18:37:00,4
2022-04-04 18:43:00,3
2022-04-04 18:43:00,4
2022-04-04 18:43:00,3
2022-04-04 18:56:00,4
2022-04-04 18:58:00,3
2022-04-04 19:46:00,2
2022-04-04 20:15:00,1
2022-04-04 20:18:00,2
2022-04-04 20:23:00,3
2022-04-04 21:13:00,2
2022-04-04 21:13:00,1
2022-04-04 21:21:00,2
2022-04-04 21:21:00,3
2022-04-04 21:30:00,2
2022-04-04 21:33:00,3
2022-04-04 22:05:00,2
2022-04-04 22:07:00,3
2022-04-04 22:37:00,2
2022-04-04 22:37:00,1
2022-04-04 22:50:00,2
2022-04-04 23:13:00,1
2022-04-05 00:07:00,0
2022-04-05 08:12:00,1
2022-04-05 08:30:00,0
2022-04-05 08:30:00,1
2022-04-05 08:52:00,0
2022-04-05 08:54:00,1
2022-04-05 09:19:00,2
2022-04-05 09:21:00,1
2022-04-05 09:25:00,2
2022-04-05 09:27:00,1
2022-04-05 09:38:00,2
2022-04-05 10:16:00,3
2022-04-05 10:21:00,2
2022-04-05 10:23:00,3
2022-04-05 10:57:00,4
2022-04-05 11:50:00,5
2022-04-05 11:56:00,4
2022-04-05 11:56:00,3
2022-04-05 11:56:00,2
2022-04-05 11:56:00,1
2022-04-05 11:56:00,2
2022-04-05 11:57:00,1
2022-04-05 12:54:00,0
2022-04-05 13:03:00,1
2022-04-05 13:03:00,2
2022-04-05 13:03:00,3
2022-04-05 13:11:00,4
2022-04-05 13:22:00,3
2022-04-05 13:27:00,4
2022-04-05 13:28:00,3
2022-04-05 13:30:00,2
2022-04-05 13:43:00,3
2022-04-05 13:43:00,4
2022-04-05 14:16:00,3
2022-04-05 14:30:00,4
2022-04-05 14:44:00,3
2022-04-05 14:48:00,4
2022-04-05 15:23:00,3
2022-04-05 15:23:00,2
2022-04-05 15:23:00,3
2022-04-05 15:26:00,4
2022-04-05 15:44:00,3
2022-04-05 16:50:00,4
2022-04-05 17:34:00,5
2022-04-05 17:44:00,4
2022-04-05 17:58:00,3
2022-04-05 18:00:00,4
2022-04-05 18:03:00,3
2022-04-05 18:06:00,4
2022-04-05 18:33:00,3
2022-04-05 18:42:00,4
2022-04-05 19:49:00,3
2022-04-05 19:50:00,2
2022-04-05 19:50:00,1
2022-04-05 19:51:00,2
2022-04-05 19:53:00,1
2022-04-05 20:25:00,2
2022-04-05 20:25:00,3
2022-04-05 20:25:00,4
2022-04-05 20:25:00,3
2022-04-05 20:26:00,4
2022-04-05 20:26:00,3
2022-04-05 20:26:00,2
2022-04-05 20:35:00,3
2022-04-05 21:18:00,2
2022-04-05 21:21:00,3
2022-04-05 21:22:00,4
2022-04-05 22:17:00,3
2022-04-05 22:28:00,4
2022-04-05 22:37:00,3
2022-04-05 23:29:00,2
2022-04-05 23:29:00,1
2022-04-05 23:29:00,0
2022-04-06 08:11:00,1
2022-04-06 08:47:00,2
2022-04-06 08:55:00,3
2022-04-06 08:58:00,4
2022-04-06 10:18:00,3
2022-04-06 10:20:00,4
2022-04-06 10:27:00,3
2022-04-06 10:28:00,2
2022-04-06 10:30:00,3
2022-04-06 10:35:00,4
2022-04-06 11:00:00,5
2022-04-06 11:07:00,4
2022-04-06 11:18:00,5
2022-04-06 11:21:00,4
2022-04-06 11:37:00,3
2022-04-06 11:37:00,4
2022-04-06 11:40:00,5
2022-04-06 11:46:00,4
2022-04-06 11:49:00,5
2022-04-06 12:12:00,4
2022-04-06 12:12:00,3
2022-04-06 12:13:00,2
2022-04-06 12:13:00,1
2022-04-06 12:24:00,0
2022-04-06 12:29:00,1
2022-04-06 13:22:00,2
2022-04-06 13:22:00,3
2022-04-06 13:22:00,4
2022-04-06 13:22:00,5
